fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,fixed_2,fixed_3,fixed_4,volatile_2,density_2,density_3,citric_2,residual_2,chlorides_2,free_2,total_2,pH_2,sulphates_2,alcohol_2
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,54.76,405.224,2998.6576,0.49,0.99560484,0.993414509,0,3.61,0.005776,121,1156,0.99560484,12.3201,0.3136
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5,60.84,474.552,3701.5056,0.7744,0.99361024,0.990430687,0,6.76,0.009604,625,4489,0.99361024,10.24,0.4624
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5,60.84,474.552,3701.5056,0.5776,0.994009,0.991026973,0.0016,5.29,0.008464,225,2916,0.994009,10.6276,0.4225
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6,125.44,1404.928,15735.1936,0.0784,0.996004,0.994011992,0.3136,3.61,0.005625,289,3600,0.996004,9.9856,0.3364
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,54.76,405.224,2998.6576,0.49,0.99560484,0.993414509,0,3.61,0.005776,121,1156,0.99560484,12.3201,0.3136
7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5,54.76,405.224,2998.6576,0.4356,0.99560484,0.993414509,0,3.24,0.005625,169,1600,0.99560484,12.3201,0.3136
7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5,62.41,493.039,3895.0081,0.36,0.99281296,0.989238833,0.0036,2.56,0.004761,225,3481,0.99281296,10.89,0.2116
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7,53.29,389.017,2839.8241,0.4225,0.98922916,0.983887323,0,1.44,0.004225,225,441,0.98922916,11.4921,0.2209
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7,60.84,474.552,3701.5056,0.3364,0.99361024,0.990430687,0.0004,4,0.005329,81,324,0.99361024,11.2896,0.3249
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,56.25,421.875,3164.0625,0.25,0.99560484,0.993414509,0.1296,37.21,0.005041,289,10404,0.99560484,11.2225,0.64
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5,44.89,300.763,2015.1121,0.3364,0.99181681,0.987750361,0.0064,3.24,0.009409,225,4225,0.99181681,10.7584,0.2916
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,56.25,421.875,3164.0625,0.25,0.99560484,0.993414509,0.1296,37.21,0.005041,289,10404,0.99560484,11.2225,0.64
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5,31.36,175.616,983.4496,0.378225,0.98863249,0.982997285,0,2.56,0.007921,256,3481,0.98863249,12.8164,0.2704
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5,60.84,474.552,3701.5056,0.3721,0.99480676,0.992220262,0.0841,2.56,0.012996,81,841,0.99480676,10.6276,2.4336
8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5,79.21,704.969,6274.2241,0.3844,0.99720196,0.995805877,0.0324,14.44,0.030976,2704,21025,0.99720196,9.9856,0.7744
8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5,79.21,704.969,6274.2241,0.3844,0.99720196,0.995805877,0.0361,15.21,0.0289,2601,21904,0.99720196,10.0489,0.8649
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7,72.25,614.125,5220.0625,0.0784,0.99380961,0.9907288,0.3136,3.24,0.008464,1225,10609,0.99380961,10.89,0.5625
8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5,65.61,531.441,4304.6721,0.3136,0.99361024,0.990430687,0.0784,2.89,0.135424,256,3136,0.99361024,9.6721,1.6384
7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4,54.76,405.224,2998.6576,0.3481,0.99480676,0.992220262,0.0064,19.36,0.007396,36,841,0.99480676,11.4244,0.25
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6,62.41,493.039,3895.0081,0.1024,0.99380961,0.9907288,0.2601,3.24,0.116281,289,3136,0.99380961,9.2416,1.1664
